Genotype,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37,cv_38,cv_39,cv_40,cv_41,cv_42,cv_43,cv_44,cv_45,cv_46,cv_47,cv_48,cv_49,cv_50,cv_51,cv_52,cv_53,cv_54,cv_55,cv_56,cv_57,cv_58,cv_59,cv_60,cv_61,cv_62,cv_63,cv_64,cv_65,cv_66,cv_67,cv_68,cv_69,cv_70,cv_71,cv_72,cv_73,cv_74,cv_75,cv_76,cv_77,cv_78,cv_79,cv_80,cv_81,cv_82,cv_83,cv_84,cv_85,cv_86,cv_87,cv_88,cv_89,cv_90,cv_91,cv_92,cv_93,cv_94,cv_95,cv_96,cv_97,cv_98,cv_99,cv_100
DS11-48181,5,5,3,4,4,3,2,1,5,2,5,4,2,2,1,3,4,3,1,5,4,2,4,3,3,2,3,1,3,1,4,1,5,3,3,1,2,5,1,4,2,3,4,5,1,2,5,5,4,2,4,1,5,2,4,3,1,4,1,4,2,4,3,1,2,2,2,5,5,2,5,3,5,2,2,4,4,4,5,4,3,2,4,2,2,3,5,2,2,5,5,3,1,1,2,1,2,1,2,5
DS11-48182,2,2,3,2,2,3,4,1,2,3,4,1,2,1,4,3,2,3,1,2,2,1,2,4,4,4,3,3,2,5,2,3,5,2,3,4,5,3,5,1,2,2,3,1,3,2,3,2,4,3,5,1,1,5,2,4,3,1,5,4,3,5,1,4,4,3,5,3,2,1,3,5,4,4,4,4,2,5,3,5,2,5,4,5,5,3,5,2,2,5,4,5,2,2,5,1,2,2,3,4
DS11-48183,2,3,5,2,4,2,2,1,5,4,1,3,4,5,4,4,1,5,3,5,3,3,5,3,1,5,4,1,4,1,5,1,5,1,3,2,3,4,3,5,5,1,5,4,5,4,1,3,1,2,3,2,3,2,2,1,1,5,3,5,2,3,3,3,4,5,1,1,3,1,4,4,1,3,2,3,1,3,5,2,3,4,1,1,1,5,3,1,5,5,3,4,1,2,1,1,3,5,5,1
DS11-48184,3,3,1,5,3,5,4,4,3,2,5,5,2,2,2,1,2,3,3,2,1,2,3,4,5,3,2,4,4,5,2,3,4,3,2,5,1,5,2,3,1,1,2,3,4,1,2,2,3,1,5,4,1,5,4,1,2,2,5,2,3,3,1,1,2,5,2,2,5,3,4,3,4,1,2,4,2,5,1,3,1,2,3,4,4,3,5,1,5,4,5,1,2,1,3,1,3,4,1,2
DS11-48185,2,1,3,4,1,1,2,2,2,2,5,4,1,2,3,5,1,4,3,5,3,5,3,4,4,4,1,5,4,3,2,3,1,3,2,4,3,3,3,5,2,5,1,4,3,2,5,3,1,5,2,2,3,5,3,1,4,2,1,2,2,1,5,3,4,3,3,4,2,1,5,1,3,5,4,5,3,5,2,2,4,3,2,4,3,1,4,1,5,2,3,5,5,1,5,5,4,2,2,1
DS11-48186,3,2,1,1,5,1,3,4,5,1,5,4,4,5,3,3,2,4,5,4,5,4,5,2,1,5,5,1,3,4,3,4,2,4,4,5,2,1,3,3,4,1,5,5,4,5,4,2,3,5,4,4,3,1,4,4,2,4,3,1,2,4,1,2,2,1,4,3,3,2,5,1,1,1,3,4,3,4,3,5,3,2,2,2,1,5,3,4,3,4,2,1,3,5,5,4,2,3,4,5
DS11-48187,3,2,2,4,5,3,4,1,4,2,4,2,1,4,3,1,3,3,1,2,5,5,4,2,5,1,3,1,3,3,2,4,5,1,2,5,5,1,2,4,3,3,5,3,1,5,5,1,3,4,1,4,5,2,2,5,4,1,1,1,5,4,2,2,1,2,5,1,1,3,2,2,4,5,2,1,4,4,5,4,3,1,2,4,3,4,1,3,2,1,2,4,2,4,2,4,1,3,5,2
DS11-48188,1,2,4,4,5,3,2,5,5,2,2,4,5,1,5,5,5,4,5,5,4,4,3,5,5,4,2,1,3,4,1,5,1,1,4,3,3,2,2,4,2,5,4,1,4,1,4,5,4,5,2,3,2,2,4,1,4,4,5,2,4,2,3,2,4,2,2,1,3,4,5,4,2,3,5,5,1,4,5,4,2,1,3,4,5,5,1,4,5,3,1,1,5,5,4,3,5,4,3,2
DS11-48189,1,2,1,1,1,2,1,4,2,3,5,4,1,3,2,4,3,1,3,5,1,2,4,1,3,2,5,3,1,2,3,5,2,3,4,3,2,1,2,2,4,4,4,4,2,2,4,3,2,4,2,1,5,4,5,2,4,5,3,1,2,2,1,2,3,3,2,4,4,3,3,5,5,5,4,2,5,4,3,4,5,3,1,1,5,2,2,5,3,4,1,5,3,5,4,2,4,2,5,5
DS11-48191,2,5,1,3,2,5,4,3,2,3,5,2,4,2,2,1,2,2,4,4,3,3,3,1,2,5,5,3,2,2,4,3,5,5,5,5,1,3,3,4,5,3,3,2,3,4,3,1,1,4,3,2,3,5,1,1,4,2,2,2,3,3,2,4,1,1,1,2,5,4,5,1,2,1,3,3,2,4,4,4,2,5,3,5,4,3,2,5,5,3,5,5,1,1,1,1,2,4,2,2
DS11-48192,5,1,5,2,1,4,1,3,5,4,4,1,2,2,5,4,1,5,5,3,5,5,1,2,4,4,1,3,3,3,3,5,1,5,1,3,3,4,1,1,4,3,5,1,1,3,5,2,4,4,3,5,4,4,1,5,4,4,4,4,4,3,1,1,5,4,4,3,5,5,1,1,3,2,5,4,2,2,1,1,5,1,3,1,1,4,4,3,5,3,2,5,4,3,3,5,5,3,4,5
DS11-48193,2,5,4,5,3,5,4,5,3,4,4,2,5,1,3,5,1,2,4,1,5,5,2,3,3,3,1,5,4,1,3,2,2,3,1,2,3,3,5,3,1,2,1,5,2,5,2,1,4,5,4,3,3,1,2,1,2,1,5,5,5,4,3,4,2,3,5,2,2,2,3,4,4,3,5,2,2,1,1,5,1,2,1,2,3,3,1,2,5,3,4,4,4,2,1,5,4,5,4,5
DS11-48194,2,2,5,4,3,3,3,1,3,3,3,1,2,4,3,3,3,5,5,5,4,5,4,4,5,2,2,2,4,1,5,4,1,5,1,1,5,3,5,5,2,4,5,3,3,1,4,1,1,3,1,5,2,3,4,5,4,5,5,1,2,4,5,3,3,2,4,2,1,4,3,4,1,1,2,5,2,1,3,5,1,1,1,2,2,3,2,5,4,2,4,2,1,1,1,3,1,3,5,3
DS11-48196,4,3,1,5,1,1,5,1,5,5,3,2,3,1,4,4,1,2,1,3,5,5,2,4,3,2,1,4,3,3,4,1,5,2,2,5,3,5,4,3,4,5,1,1,2,5,5,3,4,1,2,1,4,4,2,2,1,4,2,5,3,1,1,2,5,4,2,3,2,3,4,5,3,4,2,3,2,1,4,3,1,3,3,5,5,2,2,1,4,5,3,5,4,1,1,3,2,4,3,3
DS11-48197,2,1,3,1,1,2,3,5,3,3,1,2,4,5,1,5,1,4,4,3,1,5,2,5,1,4,2,3,4,4,2,2,2,2,5,5,2,5,3,1,4,2,4,5,3,4,2,5,1,4,4,3,4,2,2,2,1,1,2,5,1,3,5,3,5,3,2,2,4,1,5,5,2,3,1,5,4,1,3,2,2,3,5,3,4,3,1,4,3,5,2,5,5,2,4,2,3,3,3,1
DS11-48202,1,3,3,4,3,3,3,5,3,1,2,3,2,3,3,2,4,5,4,5,5,4,3,5,5,2,2,2,3,3,4,3,1,4,5,5,3,4,5,3,4,5,3,3,3,1,2,5,1,3,5,5,1,3,3,5,1,3,3,3,5,4,4,4,3,5,2,4,5,4,4,2,2,5,5,5,2,3,4,2,5,2,4,2,3,2,5,2,2,5,1,3,1,1,3,2,3,4,2,1
DS11-48204,1,5,2,4,3,5,3,5,2,3,3,5,3,3,2,3,1,1,3,4,1,2,1,4,5,5,4,2,5,4,2,5,5,5,1,4,3,3,5,1,2,4,5,4,4,5,4,1,4,2,1,5,2,3,3,4,1,2,1,3,4,1,4,4,3,3,2,5,1,5,1,1,2,3,4,5,5,5,1,5,4,2,1,5,2,5,3,4,4,5,1,3,5,2,1,2,5,4,3,2
DS11-48205,3,5,5,2,1,4,2,3,5,3,3,3,1,1,5,1,2,1,2,4,2,5,1,4,2,1,1,4,2,5,2,2,1,5,4,1,4,5,4,1,4,1,4,1,4,1,1,1,2,4,4,1,5,5,4,2,2,5,4,1,1,5,2,2,1,3,3,1,5,3,3,2,4,1,4,5,1,4,5,4,5,5,2,3,4,1,4,2,4,4,2,3,1,5,5,5,4,1,4,4
DS11-48206,1,5,5,1,4,1,1,2,4,4,4,2,1,1,2,4,5,2,3,4,4,5,1,1,5,4,5,4,5,5,1,5,2,5,2,1,4,5,5,3,5,4,2,5,1,5,3,2,3,1,4,4,3,3,1,2,1,2,5,4,4,2,5,4,1,4,2,2,3,5,4,5,4,1,3,4,2,4,1,3,5,4,4,4,1,3,4,1,4,2,4,4,2,2,3,5,5,3,2,2
DS11-48208,2,3,1,2,5,5,1,3,1,1,2,2,5,3,4,3,4,3,3,1,5,3,2,1,1,5,2,4,5,1,5,3,1,5,5,1,4,4,5,5,5,1,2,2,4,2,2,3,5,5,3,1,5,4,5,5,3,2,1,5,3,2,4,4,4,3,3,1,5,1,5,4,5,1,3,4,5,5,5,1,3,1,5,5,3,1,3,4,2,4,1,3,1,5,4,3,1,1,1,5
DS11-48210,2,5,5,3,4,3,2,1,4,3,2,3,5,1,2,2,4,5,5,4,4,3,5,5,3,4,5,1,1,5,1,1,1,2,3,4,3,5,5,4,4,4,1,2,2,4,5,5,1,4,4,1,3,4,1,2,3,1,4,2,4,4,5,3,1,5,4,3,2,5,4,1,1,1,2,2,2,2,1,2,1,3,4,1,1,2,5,3,2,5,4,2,5,5,1,5,5,4,3,3
DS11-48211,3,1,4,3,4,2,3,1,5,4,2,4,3,2,1,2,2,4,3,5,1,1,1,2,5,3,4,4,1,1,3,3,2,4,3,5,1,3,4,2,1,1,4,3,4,5,4,4,4,1,3,3,4,5,5,3,5,4,5,3,4,1,1,4,2,1,2,3,3,3,1,4,4,1,1,2,1,2,1,3,5,1,3,3,4,4,3,1,1,4,2,5,5,2,1,4,5,3,4,5
DS11-48213,4,5,3,5,1,5,3,1,2,1,1,3,2,2,5,2,5,5,3,5,5,4,4,3,5,1,3,2,3,4,1,3,4,3,4,2,4,4,5,1,3,2,1,2,1,2,2,4,1,2,3,1,5,4,1,1,2,3,1,4,1,1,5,2,5,3,2,1,3,5,4,1,3,4,5,3,5,3,5,4,2,3,3,3,5,3,1,5,1,1,3,4,2,2,1,3,2,5,1,4
DS11-48214,5,3,5,4,4,2,3,5,3,1,5,4,1,1,5,5,1,4,3,2,2,1,4,5,3,5,1,1,2,4,2,2,5,1,2,3,1,1,4,1,5,1,4,1,4,4,3,4,3,4,2,3,3,1,5,5,2,5,1,1,4,3,3,4,5,1,2,2,1,2,2,2,2,1,5,2,2,2,5,1,4,3,2,2,5,4,2,1,4,4,5,1,2,4,2,3,3,3,4,1
DS11-48215,5,4,2,4,5,3,4,2,5,4,4,5,5,4,1,1,2,5,4,4,2,3,4,4,5,5,4,2,3,3,1,1,2,1,2,3,1,3,3,3,1,2,5,2,3,3,3,2,3,5,5,2,4,4,3,3,3,4,5,2,4,4,2,4,4,1,3,3,2,5,3,5,5,2,1,5,2,2,1,5,2,1,3,4,4,2,3,5,5,2,2,5,2,5,1,3,4,2,3,1
DS11-48216,5,3,4,5,4,5,2,4,4,4,4,5,4,1,5,1,5,3,3,5,5,3,1,4,3,1,1,5,4,1,2,3,5,3,3,4,4,4,3,2,2,2,4,1,1,1,2,1,3,1,4,5,1,3,4,2,1,1,3,2,4,3,4,3,5,2,2,1,5,5,5,5,2,1,2,1,3,4,1,3,1,4,5,5,2,5,3,1,4,5,2,3,4,2,5,4,3,1,5,1
DS11-48217,2,2,2,2,3,1,4,3,4,3,3,4,2,3,1,5,2,2,1,3,2,1,4,2,4,5,3,3,2,2,5,3,1,4,4,4,2,3,4,1,4,4,1,5,3,2,1,3,3,3,3,3,2,3,1,3,5,5,3,1,2,4,2,1,2,1,2,5,2,2,2,2,2,1,4,2,3,4,1,1,2,3,4,4,3,4,5,4,3,3,2,1,4,1,4,3,3,2,1,2
DS11-48219,2,1,3,3,4,1,3,3,4,3,1,2,4,1,4,5,3,1,5,2,5,2,3,3,3,1,5,1,1,4,5,4,5,2,1,4,3,3,4,1,3,2,1,4,2,3,5,2,2,5,1,4,1,5,3,5,3,3,4,2,4,5,5,4,5,1,1,4,2,5,2,5,5,3,5,4,1,2,2,4,1,4,1,5,2,3,3,4,5,5,4,5,1,5,1,2,5,4,1,3
DS11-48221,2,2,3,2,3,1,3,5,1,1,3,5,3,3,1,4,3,1,4,4,3,1,3,2,3,4,3,1,3,2,5,3,1,3,3,4,1,4,5,4,1,1,1,3,1,1,2,5,4,3,5,4,5,5,1,4,3,2,4,4,4,4,5,4,3,1,2,2,2,2,3,4,5,3,1,4,3,5,2,2,2,5,5,4,1,1,2,2,3,4,3,5,1,4,4,2,1,5,5,2
DS11-48222,5,5,1,3,1,1,1,2,5,1,1,3,1,5,5,5,3,1,1,1,2,4,5,4,5,4,5,5,1,4,4,4,2,5,5,3,1,1,5,5,3,4,1,3,4,2,5,3,5,1,5,1,4,3,5,4,1,3,2,4,2,5,4,1,2,1,1,4,4,4,2,5,1,2,1,2,2,5,4,3,2,2,3,3,2,1,3,5,1,4,1,2,4,1,1,3,3,3,3,4
DS11-48223,1,3,2,4,4,4,5,3,5,3,3,4,4,5,5,1,1,3,1,3,2,5,3,4,2,3,5,1,2,3,3,1,1,3,4,5,3,4,5,5,1,5,4,2,1,2,4,2,4,5,2,5,4,1,4,2,1,1,4,1,2,1,4,3,4,2,4,3,4,3,4,5,3,1,1,3,5,3,1,2,3,1,1,5,4,3,3,1,5,3,2,5,1,1,4,3,3,4,4,2
DS11-48225,2,5,4,1,4,2,1,4,2,1,4,2,4,3,4,2,5,2,2,3,3,2,3,4,5,2,5,5,3,3,2,5,4,3,4,3,2,1,2,4,2,4,5,5,2,2,3,5,1,3,3,4,5,3,4,2,4,4,4,3,1,5,1,2,4,4,5,4,3,5,5,3,1,3,1,1,3,2,5,2,1,1,3,3,5,2,4,5,1,3,5,1,4,3,1,1,3,1,5,4
DS11-48226,4,2,5,1,4,4,2,5,3,5,2,5,2,2,4,4,2,2,2,4,5,3,4,1,1,5,1,5,3,2,3,2,1,2,3,5,1,3,2,5,3,1,4,5,4,4,5,2,4,1,4,2,2,1,2,3,5,2,1,1,5,1,2,1,5,5,4,1,5,3,2,4,3,1,4,1,2,1,4,5,1,3,4,4,4,3,3,3,3,3,4,3,2,4,4,2,2,3,4,2
DS11-48228,1,5,3,2,2,2,3,5,4,1,1,5,5,1,4,3,4,5,2,4,4,3,2,5,4,2,3,5,5,4,3,1,3,2,5,3,2,4,3,5,3,2,2,4,3,5,4,3,4,3,5,2,1,4,4,4,1,5,4,5,2,1,2,2,1,5,1,5,5,5,2,2,1,3,2,4,3,3,4,1,2,4,5,1,4,2,2,3,1,3,4,5,4,3,4,5,1,2,4,3
DS11-48229,1,2,4,3,1,4,4,1,3,3,3,1,2,1,3,4,1,3,3,4,3,4,1,3,4,1,3,2,1,3,1,5,2,1,1,1,2,4,3,5,4,3,4,2,2,3,2,2,1,3,1,5,5,3,2,3,5,2,4,3,4,5,1,3,1,5,5,5,2,5,3,5,3,2,3,3,4,3,2,1,5,4,3,1,2,5,5,3,4,4,3,5,3,2,3,3,2,4,2,3
DS11-48230,3,3,2,1,3,4,2,5,3,1,3,2,4,2,2,2,5,5,1,3,3,4,3,3,1,5,2,5,2,1,2,4,5,3,3,1,5,3,5,1,1,2,2,5,2,4,3,5,5,2,1,5,1,4,2,5,4,4,1,3,1,4,4,1,1,1,1,2,2,4,5,2,3,4,5,1,5,5,1,5,5,4,2,4,1,2,4,5,5,4,2,3,3,4,1,3,3,2,1,5
DS11-48231,4,2,3,1,5,3,1,5,5,5,4,4,1,1,4,1,2,5,4,2,2,1,3,3,2,1,3,3,4,4,4,5,1,5,4,4,4,3,5,4,2,4,2,3,3,2,5,4,3,2,1,2,5,2,4,5,1,4,1,4,4,5,2,2,1,5,4,4,5,2,3,2,4,3,2,5,3,5,2,1,2,5,3,4,1,5,2,5,3,2,4,1,4,3,5,3,5,3,2,3
DS11-48232,2,3,2,3,5,3,1,2,2,2,4,2,3,3,4,5,4,4,1,5,4,4,2,4,2,2,5,1,3,4,5,2,4,2,2,1,3,1,3,5,3,3,4,4,1,3,5,3,5,2,1,5,5,2,4,3,5,5,1,2,1,1,5,5,2,2,1,1,3,1,1,2,4,5,1,4,3,4,2,5,3,3,2,4,2,5,3,2,1,3,2,1,2,1,2,4,4,2,1,1
DS11-48234,5,3,2,4,4,3,1,5,5,2,5,4,4,5,5,2,1,3,2,2,5,4,3,3,1,2,4,2,2,1,1,4,2,4,3,5,3,3,5,5,5,3,1,1,4,3,1,5,4,5,2,5,1,4,2,4,2,4,4,1,3,2,3,2,2,2,2,5,2,2,2,4,2,3,5,4,2,5,5,4,4,5,3,4,3,4,1,3,2,1,3,5,3,1,1,4,5,1,1,5
DS11-48235,2,2,3,5,4,2,2,1,1,4,4,1,1,3,1,3,1,3,3,1,5,1,4,2,2,2,4,2,3,5,1,5,5,2,2,5,5,1,2,1,1,5,5,4,1,5,3,1,3,5,3,3,3,1,3,5,2,1,2,2,5,4,2,3,3,2,5,4,3,3,5,5,4,3,2,1,2,3,3,5,2,3,4,4,5,5,5,2,4,3,2,4,4,1,5,3,3,4,2,2
DS11-48237,4,4,4,1,5,5,5,1,4,3,2,5,4,1,5,2,4,1,2,3,4,1,2,4,1,5,5,4,5,2,3,1,2,3,2,1,1,3,2,5,3,3,2,5,1,3,1,5,3,2,1,4,4,1,4,2,5,1,4,5,2,4,1,3,3,1,2,4,2,2,5,2,2,1,1,1,4,4,2,5,1,3,2,5,1,4,1,3,3,2,5,1,2,5,1,3,5,3,1,5
DS11-48238,3,5,2,1,1,1,4,2,2,2,4,3,5,2,4,1,1,4,3,2,1,2,3,1,2,5,1,3,4,4,2,4,5,2,4,2,4,1,1,3,5,5,3,3,1,3,4,5,4,4,4,2,4,3,1,3,3,4,3,3,2,5,1,2,3,4,2,2,2,3,4,4,5,1,3,3,3,3,5,2,2,1,3,1,5,4,2,1,3,5,1,4,3,1,5,2,3,2,4,4
DS11-48239,1,5,4,4,4,3,2,5,2,3,3,2,1,5,1,5,2,2,5,3,3,5,3,1,3,3,3,4,5,2,3,2,4,4,3,2,5,1,2,3,4,4,3,2,4,1,1,2,5,3,5,4,2,5,4,2,2,5,3,5,5,5,2,1,4,2,1,2,3,4,3,3,3,2,5,3,2,4,2,1,2,4,2,1,5,4,4,4,2,3,5,2,5,5,4,1,3,4,5,2
DS11-48240,1,4,2,3,1,2,4,1,1,2,5,5,4,5,1,2,2,4,5,3,1,4,2,2,4,1,2,2,3,3,5,4,1,2,5,3,2,4,5,2,5,1,3,5,3,4,3,5,2,5,4,2,1,4,5,2,4,2,1,1,1,5,1,5,1,5,5,3,2,2,3,2,3,3,1,2,1,2,4,5,4,2,3,2,3,4,4,1,1,3,4,1,5,5,4,2,3,2,4,4
DS11-48241,2,4,3,4,5,4,1,4,3,3,2,4,5,4,1,4,3,5,3,5,4,3,2,3,1,4,2,4,2,3,5,3,3,1,5,5,5,3,4,5,4,3,5,1,3,5,2,5,5,5,2,1,5,2,3,5,2,3,4,2,5,3,3,2,1,3,2,3,2,2,2,5,5,5,4,5,2,4,3,4,3,5,1,2,3,2,4,1,2,1,4,5,5,5,4,1,4,3,4,4
DS11-48242,2,4,3,5,2,5,1,2,1,1,2,2,3,5,1,1,4,4,2,4,5,1,1,1,2,3,3,2,1,3,5,1,3,3,5,1,1,5,5,3,5,2,1,1,4,4,5,4,1,2,5,2,5,2,3,3,3,4,5,1,2,2,2,1,3,4,3,1,2,3,1,1,2,3,5,3,5,2,5,4,2,1,4,4,4,1,2,2,2,5,1,4,5,5,5,1,4,5,1,5
DS11-48243,2,1,2,3,2,1,3,4,5,4,4,1,5,4,2,1,1,3,2,3,1,1,3,5,1,5,5,2,2,5,2,5,5,3,1,3,1,2,5,3,3,3,3,3,1,5,2,5,5,5,2,5,4,4,4,2,3,2,3,4,3,5,4,5,3,4,2,5,2,3,1,3,5,1,3,3,2,2,3,3,4,3,2,1,5,3,5,1,1,5,2,4,3,4,5,3,3,2,2,2
DS11-48244,1,3,3,5,1,4,2,2,5,3,4,3,2,2,2,3,2,3,5,2,2,4,3,5,5,5,3,2,3,1,3,4,4,3,5,5,1,1,2,3,5,5,2,5,4,1,5,1,2,4,5,5,2,3,4,2,5,2,1,3,2,1,2,5,3,1,3,5,2,3,1,2,2,1,4,2,3,5,5,5,3,3,5,5,3,3,2,4,1,1,2,3,5,3,3,1,5,3,5,2
DS11-48245,3,5,4,2,3,1,4,3,2,4,5,3,1,3,3,2,4,2,5,5,1,2,1,4,5,3,4,2,2,5,5,5,5,1,3,5,5,5,3,1,3,1,2,2,4,4,1,5,1,3,5,2,5,5,4,3,3,2,5,1,3,1,2,4,4,2,4,2,4,4,3,2,2,2,1,4,3,2,3,4,1,3,2,2,2,4,4,3,1,5,4,3,4,4,5,3,4,5,4,2
DS11-48246,5,2,2,5,2,4,3,5,2,1,5,2,4,4,1,2,1,3,3,2,2,1,3,2,1,2,3,4,1,4,2,4,2,2,4,5,1,1,2,5,1,4,3,2,2,5,1,2,5,3,1,2,2,3,3,4,5,4,2,2,4,5,5,2,1,5,1,2,1,5,1,4,3,1,3,1,2,5,1,2,5,3,5,2,2,2,1,3,1,1,1,1,4,2,2,3,4,1,2,3
DS11-48247,2,2,2,4,2,1,1,1,4,3,5,5,5,2,5,1,2,1,2,2,1,3,2,3,1,2,3,5,4,5,4,4,1,2,5,3,5,2,2,3,1,1,2,1,1,2,1,2,5,5,3,3,2,2,1,3,3,1,4,1,4,3,4,5,4,4,4,1,5,4,1,4,4,2,2,5,3,4,1,4,5,4,5,4,5,1,4,5,3,1,2,1,5,5,3,4,2,5,4,3
DS11-48248,3,3,1,3,4,2,3,4,3,2,3,1,5,4,1,5,2,2,3,3,4,1,1,5,5,3,4,3,1,4,5,5,1,2,1,1,2,5,4,4,4,4,4,2,3,4,4,5,4,5,4,5,4,3,2,2,2,3,1,4,2,1,5,5,2,1,1,2,2,5,5,5,4,4,3,5,2,1,2,5,2,2,4,5,5,4,5,5,4,2,2,2,2,4,5,1,2,2,4,1
DS11-48249,3,3,5,3,5,1,4,3,3,3,4,2,1,4,2,4,2,4,4,5,5,1,1,1,4,1,2,1,3,2,1,4,4,2,3,1,4,1,3,3,2,5,1,2,4,4,5,2,2,1,1,1,1,2,5,3,4,5,5,1,5,5,1,4,2,1,5,4,2,1,2,2,2,1,2,4,2,5,4,5,2,4,3,3,2,5,2,3,3,1,3,3,2,4,5,5,5,3,5,5
DS11-48250,1,3,1,5,2,3,2,4,5,2,3,5,1,2,2,2,5,3,2,2,1,1,1,3,5,3,1,3,1,5,4,3,1,2,3,3,2,4,2,5,2,4,1,3,1,4,4,4,2,3,5,3,3,1,4,2,2,2,1,4,3,2,1,5,3,3,1,5,2,2,1,4,2,2,3,1,1,5,1,4,1,3,2,1,2,5,1,4,1,5,5,4,4,4,4,1,2,2,4,5
DS11-50050,3,1,4,1,2,5,1,5,2,4,5,5,3,5,5,2,3,2,4,3,5,2,4,3,2,4,2,4,1,5,1,1,4,1,1,5,4,2,3,4,3,4,3,5,5,1,3,3,2,5,1,5,4,4,5,4,2,2,3,4,4,1,4,4,2,2,3,4,3,2,5,2,3,1,3,3,2,4,3,2,3,2,2,5,5,1,2,1,5,1,4,3,4,3,2,4,2,3,1,3
DS11-50129,2,5,4,5,5,2,3,1,2,4,5,3,4,5,2,2,3,2,2,1,3,5,3,2,2,5,2,4,5,4,3,1,5,2,3,5,3,3,2,5,5,5,3,2,3,4,3,1,2,5,5,5,3,4,1,1,3,2,1,1,5,3,2,2,3,2,4,4,3,1,4,3,4,5,3,2,3,5,3,1,2,1,3,1,3,5,2,3,4,1,4,1,4,3,4,4,5,1,5,1
DS11-50143,1,1,5,3,1,2,1,2,2,2,1,5,1,4,5,4,2,1,3,2,3,3,1,3,3,2,1,3,1,1,1,2,4,4,2,1,1,3,5,1,4,5,4,4,2,5,4,5,1,2,1,3,1,4,4,3,1,5,3,4,1,4,3,3,3,5,4,3,5,5,5,2,1,2,4,4,1,1,4,3,4,5,3,5,5,4,4,3,1,5,3,5,2,5,3,5,5,1,3,3
DS11-50144,2,4,3,4,4,1,1,1,3,1,5,1,5,4,3,3,5,5,3,3,5,1,4,5,3,4,4,4,1,1,1,3,5,1,4,5,1,1,4,1,4,3,3,5,4,4,3,4,1,2,1,1,2,1,4,1,5,4,1,4,1,3,4,4,5,4,1,4,2,2,1,3,1,2,5,1,5,4,2,1,3,2,4,4,4,5,4,5,1,1,2,2,5,1,4,2,1,2,3,1
DS11-50145,5,2,1,3,2,5,4,4,5,2,4,3,4,5,4,2,4,5,4,2,1,5,1,3,2,4,5,3,4,2,2,2,3,1,1,4,2,3,3,1,4,3,5,1,1,2,2,4,4,1,5,4,3,3,4,3,4,3,3,1,2,3,1,5,4,1,1,3,4,4,1,3,2,5,3,5,5,4,4,1,4,5,1,2,5,3,2,1,3,5,2,2,2,3,1,3,5,4,5,5
DS11-50146,3,4,1,2,1,4,5,2,1,3,4,2,4,5,3,1,1,3,4,5,2,2,4,5,3,4,2,3,5,5,3,1,2,1,5,5,1,1,5,5,4,1,2,4,5,2,5,2,4,5,1,1,1,4,2,4,1,2,3,2,4,5,2,2,1,5,5,2,5,2,4,2,5,3,3,3,2,3,1,4,2,3,2,2,5,5,1,2,5,3,1,3,3,5,1,2,4,2,5,1
DS11-50147,5,1,5,1,4,1,5,4,3,1,4,4,5,1,4,2,2,1,1,2,3,1,2,2,3,5,2,4,5,4,3,2,3,1,1,1,3,4,1,3,4,4,1,3,5,2,5,4,2,2,3,1,4,3,4,4,4,4,3,4,3,3,5,1,2,2,5,2,1,3,5,1,2,3,2,2,1,4,5,4,3,3,2,1,5,1,1,5,2,3,5,3,4,5,1,3,3,3,5,4
DS11-50148,1,4,4,1,1,2,3,5,3,5,1,1,4,2,2,1,4,4,4,1,5,5,3,3,4,3,1,2,1,2,5,2,2,5,5,3,4,4,5,1,3,4,4,1,3,5,1,1,2,3,4,1,3,2,3,5,5,1,4,2,4,1,1,2,1,4,1,1,2,1,1,2,4,5,5,2,2,4,4,3,2,2,2,2,1,2,2,5,5,5,5,4,3,3,2,4,3,4,2,1
DS11-50150,5,1,3,3,5,3,2,3,4,5,3,1,2,4,2,2,3,2,4,4,4,5,1,5,2,4,3,1,4,4,3,5,5,1,2,1,5,4,1,3,2,5,5,4,1,5,3,3,2,2,1,2,1,3,2,3,1,5,4,5,3,2,5,5,4,3,1,4,4,5,3,2,5,1,1,4,1,4,1,5,1,2,4,5,1,1,5,1,3,4,3,4,1,4,3,5,5,3,4,3
DS11-50151,4,2,3,2,5,2,1,3,3,1,1,4,4,3,3,4,5,3,5,1,2,5,5,3,3,3,4,3,3,1,1,1,5,4,4,5,2,4,2,3,2,3,1,3,3,2,3,1,2,5,1,2,1,4,4,1,3,2,1,3,2,2,2,5,5,2,5,4,3,4,2,3,3,4,2,1,5,5,1,3,2,1,5,1,1,2,1,3,4,5,4,5,2,5,3,2,4,4,2,2
DS11-50153,1,3,3,4,1,2,2,2,3,2,3,1,5,1,4,1,2,4,3,3,5,2,3,4,3,4,3,3,1,3,5,1,2,2,4,4,1,1,4,3,3,4,4,5,3,2,4,2,5,1,4,5,2,5,5,1,3,3,1,4,3,2,5,5,1,3,3,1,5,4,3,2,2,2,4,3,4,3,3,1,4,5,2,4,2,1,4,1,3,5,4,5,4,1,2,3,5,5,1,2
